73,25.5,0.32,93.45678052
23,20,0.32,22.53506818
34.2,15.5,0.32,38.43509452
110,26,0.32,142.4625565
110,26,0.32,142.4625565
62,30,0.32,194.0584709
102,23.5,0.32,119.3705606
43,14.5,0.76,50.43040392
36,20,0.32,49.30311792
110,22,0.6,156.6100809
140,35,0.6,231.1776098
43,16,0.52,47.14680026
23,9.5,0.76,30.45712387
31,16,0.79,39.71943199
32,12.5,0.79,34.27016377
42,20.5,0.79,79.19371937
30.3,17,0.79,43.60035741
32.5,19,0.63,49.64096391
29.5,24,0.63,56.09016566
23,8.5,0.63,21.0136973
34,18,0.63,39.55536703
40,24.5,0.63,83.84762099
20,15.5,0.63,25.06184236
58,15.5,0.63,75.58688761
24.5,19.25,0.63,45.06824858
20,14,0.63,23.8698404
54,32,0.63,103.213538
34,10,0.63,29.19850979
23,25.5,0.63,36.20160797
43,14.5,0.63,73.21817396
31,25.5,0.63,48.39493992
31,17,0.63,39.07282614
31,17,0.63,39.07282614
56,18.5,0.28,64.98953649
250,27.5,0.28,309.6911226
65,26,0.28,79.94933194
108,38,0.28,288.5355629
80,23.5,0.28,92.21676488
26,20.83,0.59,64.67592016
24,16,0.59,33.45379385
20,26.5,0.59,34.55928526
23,20,0.59,38.94554699
20,16,0.59,21.67414329
60,15.5,0.6,76.7131869
22,14.5,0.6,24.20496167
43,26.5,0.6,60.8981713
36.25,14.25,0.6,59.13323953
22,18,0.6,26.3406349
57,18.5,0.6,96.9892714
75,30.5,0.6,155.623058
40,27.5,0.6,77.35510782
36.5,26.5,0.6,79.72692622
35,27.5,0.6,55.64734687
90,38.5,0.33,114.0552091
75,26.5,0.33,125.5599194
68,25.25,0.33,104.7711064
33.65,21,0.48,74.23532357
23,11.5,0.5,19.72685279
25.5,17.5,0.48,37.95356082
26,24,0.48,46.22063469
31,17.5,0.48,44.06766436
51,24,0.48,121.2478527
34.2,25.5,0.48,46.75014314
40,23,0.48,54.71165352
52.85,18.5,0.48,92.15700029
47,24.5,0.48,100.8227097
36,22.5,0.48,67.9658344
24,20,0.48,30.68258413
21,14.5,0.48,21.463013
20,9,0.48,13.76247393
63,22.75,0.41,241.1630937
48,24.5,0.48,82.2429126
52.2,26,0.41,163.9934182
88,30,0.41,139.8982911
41.83,16.66,0.41,79.6003388
42,30.25,0.41,126.9093779
25.7,13.8,0.41,39.54200868
69,23.5,0.41,75.56339776
28.66,22.32,0.41,68.34514093
56,21,0.41,70.07376906
72,14.5,0.41,77.4966515
88,22,0.41,115.2933705
23,13,0.41,17.21062279
43.5,17.5,0.41,42.15471004
70.5,18,0.41,90.84946266
58,23.5,0.41,66.88979803
44.5,23.5,0.41,73.71119507
47.3,22.5,0.41,55.07789171
56.2,23.25,0.41,92.13085156
68,23,0.43,93.01412518
38,14.5,0.72,47.05241575
33.16,15.49,0.72,69.29116807
32.4,14.5,0.72,91.99719998
32,21,0.72,46.96706906
22,19.5,0.72,34.19310805
21,17.5,0.72,44.6971999
21,12,0.72,22.19826809
74,16,0.72,107.9410053
28.25,15,0.72,49.44669784
28.75,17,0.72,78.4353323
24.1,19,0.72,35.97666468
20,11,0.43,15.0147785
38.1,20.75,0.72,109.4510267
32.3,16.5,0.72,39.43114145
40,19.25,0.72,88.47482532
26,12,0.9,36.80113697
36,16,0.67,58.86848179
22.25,20.75,0.72,44.74633772
26,16.5,0.67,46.65378881
21.5,22.5,0.7,36.83552744
25,17.76,0.67,56.45239425
21.5,13.5,0.67,29.72594624
23,9,0.67,21.88178374
25,24.5,0.67,33.7918215
22,17,0.67,33.38663616
35,12,0.67,35.80088445
26,18.5,0.67,36.14826005
28,18.5,0.8,48.39567541
46,22.5,0.8,67.24146344
41.5,22.5,0.8,62.53817473
41.5,22.5,0.8,62.53817473
26,26.5,0.8,55.94859037
28,16.5,0.8,54.95635351
20,11.5,0.8,27.02399982
26.5,16,0.9,38.56832418
27,21,0.9,49.87857281
24.5,14.75,0.9,49.37822139
136.8,29.5,0.9,361.7681843
71.1,22.75,0.9,204.2976959
23,19.5,0.9,43.13799651
40,16.75,0.9,104.8808525
23,7,0.9,23.45214798
20,14.5,0.9,25.43415817
22,9.5,0.9,22.57787051
26.5,21,0.9,65.00373342
20.5,17,0.9,35.20108061
23.55,10.5,0.9,45.87888949
21,10.25,0.9,52.84673641
21.5,10.5,0.7,23.73744213
20,15.5,0.7,33.70819038
26,16,0.7,32.81074799
22,15.5,0.7,26.90587941
21,14.5,0.7,25.13647146
20.25,12.75,0.7,31.37037814
31,21.5,0.7,44.89412241
23,13,0.7,25.94312935
25.75,18,0.7,54.16288175
42,18.5,0.7,63.31183056
28,16,0.7,29.71116441
30,20.5,0.7,56.9464161
31.5,12.5,0.7,36.28406037
26.5,13,0.7,35.12911078
33,17.5,0.7,63.30031577
31.5,12.5,0.7,36.28406037
22,22.5,0.7,36.4955512
22.5,17.5,0.83,38.13583055
36,18.25,0.83,119.7912888
32.5,23.5,0.83,57.45423517
32.5,23.5,0.83,57.45423517
32.3,17,0.8,55.60444759
51,19.5,0.9,122.4557676
24.6,17,0.9,42.545381
24.6,17,0.9,42.545381
28.5,18,0.41,42.12059942
34.2,23.5,0.41,48.7001598
